# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 26 09:50:46 2025
#
# User preference: *
#
# CONSTRAINT:  where (hostname like '%kep%'
# CONSTRAINT:  and default_flag > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
KOI-1831 d,Kepler-324,1,1,4,Transit,2021,Kepler,Published Confirmed,0,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,34.16900000000,,,0,,,,,1.13000000,0.05000000,-0.05000000,0,0.10081202,0.00446071,-0.00446071,0,2.23000000,2.23000000,0.50000000,-0.84000000,0,0.00701636,0.00157318,-0.00264294,0,Mass,,,,,,,,,475.00,9.00,-9.00,0,0,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,,5233.00,60.00,-60.00,0,0.835000,0.023000,-0.022000,0,0.901000,0.017000,-0.027000,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.57400000,3.68100000,-3.62900000,14.2220000,0.0690000,-0.0690000,12.2910000,0.0250000,-0.0250000,14.0909000,0.0002170,-0.0002170,2021-06-11,2021-05,2021-06-11
KOI-1833 d,Kepler-968,1,1,3,Transit,2021,Kepler,Published Confirmed,0,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,7.68500000000,,,0,,,,,2.58000000,0.23000000,-0.22000000,0,0.23017258,0.02051926,-0.01962712,0,11.02000000,11.02000000,,,1,0.03467280,,,1,Mass,,,,,,,,,613.00,23.00,-23.00,0,0,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,,4413.00,75.00,-69.00,0,0.667000,0.012000,-0.012000,0,0.681000,0.025000,-0.024000,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m24.62s,285.6025889,+50d06m43.34s,50.1120401,290.32400000,1.44800000,-1.43500000,14.6260000,0.1260000,-0.1260000,11.8310000,0.0250000,-0.0250000,14.2499000,0.0003920,-0.0003920,2021-06-11,2021-05,2021-06-11
KOI-1843.03,Kepler-974,1,1,2,Transit,2013,Kepler,Published Confirmed,0,<a refstr=RAPPAPORT_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...773L..15R/abstract target=ref>Rappaport et al. 2013</a>,0.17689130000,0.00000020000,-0.00000020000,0,,,,,0.61000000,0.12000000,-0.08000000,0,0.05442065,0.01070570,-0.00713713,0,8.00000000,8.00000000,,,1,0.02517081,,,1,Mass,,,,,,,,,,,,,0,<a refstr=RAPPAPORT_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...773L..15R/abstract target=ref>Rappaport et al. 2013</a>,,3584.00,65.00,-65.00,0,0.450000,0.080000,-0.050000,0,0.460000,0.080000,-0.050000,0,0.0000,0.1000,-0.1000,0,[Fe/H],4.800000,0.060000,-0.090000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h00m03.15s,285.0131082,+40d13m15.44s,40.2209547,134.31100000,0.44700000,-0.44400000,15.2950000,0.0580000,-0.0580000,11.0560000,0.0170000,-0.0170000,14.4126000,0.0004830,-0.0004830,2025-03-08,2013-08,2025-03-08
Kepler-10 b,Kepler-10,1,1,3,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...696A.233B/abstract target=ref>Bonomo et al. 2025</a>,0.83749070000,0.00000020000,-0.00000020000,0,0.0168500000,0.0001300000,-0.0001300000,0,1.47000000,0.03000000,-0.02000000,0,0.13114484,0.00267643,-0.00178428,0,3.24000000,3.24000000,0.32000000,-0.32000000,0,0.01019418,0.00100683,-0.00100683,0,Mass,0.000000,,,0,,,,,2188.00,16.00,-16.00,0,0,<a refstr=DUMUSQUE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...789..154D/abstract target=ref> Dumusque et al. 2014</a>,,5708.00,28.00,-28.00,0,1.065000,0.009000,-0.009000,0,0.910000,0.021000,-0.021000,0,-0.1500,0.0400,-0.0400,0,[Fe/H],4.344000,0.004000,-0.004000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m43.03s,285.6792980,+50d14m29.34s,50.2414842,185.50600000,0.81100000,-0.80500000,11.0430000,0.0230000,-0.0230000,9.4960000,0.0210000,-0.0210000,10.9191000,0.0003180,-0.0003180,2025-06-11,2025-04,2025-06-12
Kepler-10 c,Kepler-10,1,1,3,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...696A.233B/abstract target=ref>Bonomo et al. 2025</a>,45.29430100000,0.00004800000,-0.00004800000,0,0.2410000000,0.0019000000,-0.0019000000,0,2.35500000,0.02200000,-0.02200000,0,0.21009939,0.00196271,-0.00196271,0,11.29000000,11.29000000,1.24000000,-1.24000000,0,0.03552231,0.00390148,-0.00390148,0,Mass,0.136000,0.050000,-0.050000,0,,,,,579.00,4.00,-4.00,0,1,<a refstr=DUMUSQUE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...789..154D/abstract target=ref> Dumusque et al. 2014</a>,,5708.00,28.00,-28.00,0,1.065000,0.009000,-0.009000,0,0.910000,0.021000,-0.021000,0,-0.1500,0.0400,-0.0400,0,[Fe/H],4.344000,0.004000,-0.004000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m43.03s,285.6792980,+50d14m29.34s,50.2414842,185.50600000,0.81100000,-0.80500000,11.0430000,0.0230000,-0.0230000,9.4960000,0.0210000,-0.0210000,10.9191000,0.0003180,-0.0003180,2025-06-11,2025-04,2025-06-12
Kepler-10 d,Kepler-10,1,1,3,Radial Velocity,2023,Roque de los Muchachos Observatory,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...696A.233B/abstract target=ref>Bonomo et al. 2025</a>,151.06000000000,0.48000000000,-0.48000000000,0,0.5379000000,0.0043000000,-0.0043000000,0,,,,,,,,,,12.00000000,2.15000000,-2.15000000,0,0.03775622,0.00676466,-0.00676466,0,Msini,0.190000,0.100000,-0.100000,0,,,,,387.00,3.00,-3.00,0,0,<a refstr=DUMUSQUE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...789..154D/abstract target=ref> Dumusque et al. 2014</a>,,5708.00,28.00,-28.00,0,1.065000,0.009000,-0.009000,0,0.910000,0.021000,-0.021000,0,-0.1500,0.0400,-0.0400,0,[Fe/H],4.344000,0.004000,-0.004000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m43.03s,285.6792980,+50d14m29.34s,50.2414842,185.50600000,0.81100000,-0.80500000,11.0430000,0.0230000,-0.0230000,9.4960000,0.0210000,-0.0210000,10.9191000,0.0003180,-0.0003180,2025-06-11,2025-04,2025-06-12
Kepler-100 b,Kepler-100,1,1,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,6.88705000000,,,0,,,,,1.32000000,0.04000000,-0.04000000,0,0.11800000,0.00400000,-0.00400000,0,7.34000000,7.34000000,3.20000000,-3.20000000,0,0.02300000,0.01000000,-0.01000000,0,Mass,,,,,,,,,,,,,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,5825.00,75.00,-75.00,0,1.490000,0.040000,-0.040000,0,1.080000,0.060000,-0.060000,0,0.0200,0.1000,-0.1000,0,[Fe/H],4.125000,0.030000,-0.030000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m32.67s,291.3861294,+41d59m24.50s,41.9901394,304.64500000,1.76300000,-1.74400000,11.0550000,0.0110000,-0.0110000,9.7680000,0.0140000,-0.0140000,11.1293000,0.0003710,-0.0003710,2014-05-14,2014-02,2014-05-14
Kepler-100 c,Kepler-100,1,1,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,12.81590000000,,,0,,,,,2.20000000,0.05000000,-0.05000000,0,0.19600000,0.00400000,-0.00400000,0,7.05000000,7.05000000,,,1,0.02218167,,,1,Mass,,,,,,,,,,,,,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,5825.00,75.00,-75.00,0,1.490000,0.040000,-0.040000,0,1.080000,0.060000,-0.060000,0,0.0200,0.1000,-0.1000,0,[Fe/H],4.125000,0.030000,-0.030000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m32.67s,291.3861294,+41d59m24.50s,41.9901394,304.64500000,1.76300000,-1.74400000,11.0550000,0.0110000,-0.0110000,9.7680000,0.0140000,-0.0140000,11.1293000,0.0003710,-0.0003710,2016-10-12,2014-02,2016-10-13
Kepler-100 d,Kepler-100,1,1,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,35.33310000000,,,0,,,,,1.61000000,0.05000000,-0.05000000,0,0.14400000,0.00400000,-0.00400000,0,3.00000000,3.00000000,,,1,0.00943901,,,1,Mass,,,,,,,,,,,,,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,5825.00,75.00,-75.00,0,1.490000,0.040000,-0.040000,0,1.080000,0.060000,-0.060000,0,0.0200,0.1000,-0.1000,0,[Fe/H],4.125000,0.030000,-0.030000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m32.67s,291.3861294,+41d59m24.50s,41.9901394,304.64500000,1.76300000,-1.74400000,11.0550000,0.0110000,-0.0110000,9.7680000,0.0140000,-0.0140000,11.1293000,0.0003710,-0.0003710,2016-10-12,2014-02,2016-10-13
Kepler-100 e,Kepler-100,1,1,4,Radial Velocity,2023,W. M. Keck Observatory,Published Confirmed,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,60.88858800000,0.04447100000,-0.04447100000,0,0.3123915860,,,0,,,,,,,,,,24.14271827,3.33214569,-3.33214569,0,0.07596149,0.01048410,-0.01048410,0,Msini,0.026437,0.127095,-0.127095,0,,,,,,,,,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,,,,,,,,,,1.097000,0.033500,-0.033500,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m32.67s,291.3861294,+41d59m24.50s,41.9901394,304.64500000,1.76300000,-1.74400000,11.0550000,0.0110000,-0.0110000,9.7680000,0.0140000,-0.0140000,11.1293000,0.0003710,-0.0003710,2024-02-16,2024-01,2024-02-16
